"product_id","product_name","description","product_image","product_info_image","our_selling_price","original_price","promo_item","saving_per_unit","display_saving_per_unit","outlet_item_id","popularity_index","sold_per","unit","approx_weight","size_label","label_value","each_suffix","allow_grams","status_available","status_available_label","featured_item","vendor_id","outlet_id","outlet_name","department_id","department_name","aisle_id","aisle_name","brand_id","brand_title","product_cart","cart_qty","cart_notes","cart_detail_id","is_favorited"
20243,"اوزمو سباس رقائق حبوب القمح بالشوكلاته","","https://cdn.basket.jo/assets/images/products/list/20243_1626100029.jpg","https://cdn.basket.jo/assets/images/products/detail/20243_1626100029.jpg",1.5,1.99,0,0,"",208340,30622,1,"g",0,23,"325",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",511,"اوزمو",0,0,"",0,0
36727,"اوزمو سبايس رقائق القمح والذرة بالكاكاو","","https://cdn.basket.jo/assets/images/products/list/36727_1611062638.jpg","https://cdn.basket.jo/assets/images/products/detail/36727_1611062638.jpg",1.5,1.99,0,0,"",483451,30624,1,"g",0,23,"325",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",511,"اوزمو",0,0,"",0,0
153667,"باريد رقائق حبوب الذرة","","https://cdn.basket.jo/assets/images/products/list/153667_1627343444.jpg","https://cdn.basket.jo/assets/images/products/detail/153667_1627343444.jpg",2.15,2.15,0,0,"",2210407,37248,1,"g",0,23,"510",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",199,"باراد",0,0,"",0,0
152611,"بروبايوس ألتري سيريالي مزيج خالٍ من الغلوتين للبيتزا والخبز مع الحنطة السوداء والذرة الرفيعة","","https://cdn.basket.jo/assets/images/products/list/152611_1627561449.jpg","https://cdn.basket.jo/assets/images/products/detail/152611_1627561449.jpg",4.44,4.44,0,0,"",2144768,41117,1,"g",0,23,"500",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",1479,"بروبيس",0,0,"",0,0
125380,"بوبينز رقائق الذرة","","https://cdn.basket.jo/assets/images/products/list/125380_1610264980.jpg","https://cdn.basket.jo/assets/images/products/detail/125380_1610264980.jpg",4.14,4.14,0,0,"",1584025,31554,1,"kg",0,29,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",824,"بوبينز",0,0,"",0,0
20248,"بوبينز رقائق القمح المحمصة بالشوكولاته","","https://cdn.basket.jo/assets/images/products/list/20248_1626100031.jpg","https://cdn.basket.jo/assets/images/products/detail/20248_1626100031.jpg",2.5,2.79,0,0,"",232854,31530,1,"g",0,23,"375",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",824,"بوبينز",0,0,"",0,0
56963,"بوبينز
شوكو بوبس
كرات الذرة
والأرز
بالشوكولاتة","","https://cdn.basket.jo/assets/images/products/list/56963_1610963610.jpg","https://cdn.basket.jo/assets/images/products/detail/56963_1610963610.jpg",2.5,2.79,0,0,"",509534,31533,1,"g",0,23,"375",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",824,"بوبينز",0,0,"",0,0
30783,"بوبينز
شوكو بيتس
حبوب الارز
والذرة
المحمصة
بالشوكولا","","https://cdn.basket.jo/assets/images/products/list/30783_1610977383.jpg","https://cdn.basket.jo/assets/images/products/detail/30783_1610977383.jpg",2.79,2.79,0,0,"",509621,31531,1,"g",0,23,"375",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",824,"بوبينز",0,0,"",0,0
59022,"تيميز حبوب سويت
فليكس ","","https://cdn.basket.jo/assets/images/products/list/59022_1629548274.jpg","https://cdn.basket.jo/assets/images/products/detail/59022_1629548274.jpg",0.96,0.96,0,0,"",510554,40945,1,"g",0,23,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",6002,"تيمز",0,0,"",0,0
59018,"تيميز شوكو
بيلو حبوب اللإفطار
بحشوة
كريمة
الكاكاو","","https://cdn.basket.jo/assets/images/products/list/59018_1557649672.jpg","https://cdn.basket.jo/assets/images/products/detail/59018_1557649672.jpg",1.7,1.7,0,0,"",510550,40948,1,"g",0,23,"375",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",6002,"تيمز",0,0,"",0,0
58820,"تيميز
فلاور باور
حبوب الافطار بطعم
الفاكهة","","https://cdn.basket.jo/assets/images/products/list/58820_1618830196.jpg","https://cdn.basket.jo/assets/images/products/detail/58820_1618830196.jpg",0.96,0.96,0,0,"",509788,40939,1,"g",0,23,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",6002,"تيمز",0,0,"",0,0
58878,"تيميز كورن
فليكس رقائق الذرة اللذيذة","","https://cdn.basket.jo/assets/images/products/list/58878_1618830231.jpg","https://cdn.basket.jo/assets/images/products/detail/58878_1618830231.jpg",0.96,0.96,0,0,"",509846,40940,1,"g",0,23,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",6002,"تيمز",0,0,"",0,0
59021,"تيميز هني
بوبس حبوب الذرة المقرمشة بالعسل","","https://cdn.basket.jo/assets/images/products/list/59021_1618830230.jpg","https://cdn.basket.jo/assets/images/products/detail/59021_1618830230.jpg",0.96,0.96,0,0,"",510553,40944,1,"g",0,23,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",6002,"تيمز",0,0,"",0,0
7710,"جوردانز كنتري كريسب شوكولاتة","","https://cdn.basket.jo/assets/images/products/list/7710_1611078962.jpg","https://cdn.basket.jo/assets/images/products/detail/7710_1611078962.jpg",5.46,5.46,0,0,"",785706,50516,1,"g",0,23,"500",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",3851,"الإفطار",3860,"حبوب الافطار",390,"جوردانز",0,0,"",0,0
