"product_id","product_name","description","product_image","product_info_image","our_selling_price","original_price","promo_item","saving_per_unit","display_saving_per_unit","outlet_item_id","popularity_index","sold_per","unit","approx_weight","size_label","label_value","each_suffix","allow_grams","status_available","status_available_label","featured_item","vendor_id","outlet_id","outlet_name","department_id","department_name","aisle_id","aisle_name","brand_id","brand_title","product_cart","cart_qty","cart_notes","cart_detail_id","is_favorited"
75587,"المراعي حليب مبخر","","https://cdn.basket.jo/assets/images/products/list/75587_1585153916.jpg","https://cdn.basket.jo/assets/images/products/detail/75587_1585153916.jpg",0.85,0.85,0,0,"",859457,833,1,"g",0,23,"410",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",41,"المراعي",0,0,"",0,0
70028,"المراعي
حليب مبخر أصلي","","https://cdn.basket.jo/assets/images/products/list/70028_1630930751.jpg","https://cdn.basket.jo/assets/images/products/detail/70028_1630930751.jpg",0.43,0.43,0,0,"",614886,790,1,"g",0,23,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",7646,"المراعي",0,0,"",0,0
70319,"المراعي
حليب مبخر قليل الدسم","","https://cdn.basket.jo/assets/images/products/list/70319_1627994249.jpg","https://cdn.basket.jo/assets/images/products/detail/70319_1627994249.jpg",0.43,0.43,0,0,"",866784,791,1,"g",0,23,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",7646,"المراعي",0,0,"",0,0
37341,"حليبنا حليب  مبخر
كامل الدسم","","https://cdn.basket.jo/assets/images/products/list/37341_1627994276.jpg","https://cdn.basket.jo/assets/images/products/detail/37341_1627994276.jpg",0.89,0.89,0,0,"",208541,24353,1,"g",0,23,"410",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",266,"حبيبه",0,0,"",0,0
32945,"حليبنا حليب مبخر
كامل الدسم","","https://cdn.basket.jo/assets/images/products/list/32945_1613819293.jpg","https://cdn.basket.jo/assets/images/products/detail/32945_1613819293.jpg",0.43,0.43,0,0,"",208508,24350,1,"g",0,23,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",266,"حبيبه",0,0,"",0,0
151793,"حليبنا حليب مكثف محلى","","https://cdn.basket.jo/assets/images/products/list/151793_1626101508.jpg","https://cdn.basket.jo/assets/images/products/detail/151793_1626101508.jpg",1.15,1.15,0,0,"",2144615,17335,1,"ml",0,18,"397",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",43,"حليبنا",0,0,"",0,0
2579,"رينبو حليب
سائل مبخر
اصلي","","https://cdn.basket.jo/assets/images/products/list/2579_1546421790.jpg","https://cdn.basket.jo/assets/images/products/detail/2579_1546421790.jpg",1.17,1.17,0,0,"",208540,19468,1,"g",0,23,"410",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",53,"راينبو",0,0,"",0,0
2578,"رينبو حليب
سائل مبخر
اصلي","","https://cdn.basket.jo/assets/images/products/list/2578_1546421738.jpg","https://cdn.basket.jo/assets/images/products/detail/2578_1546421738.jpg",0.5,0.5,0,0,"",208498,19463,1,"g",0,23,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",53,"راينبو",0,0,"",0,0
2580,"رينبو
حليب
مبخر","","https://cdn.basket.jo/assets/images/products/list/2580_1583409643.jpg","https://cdn.basket.jo/assets/images/products/detail/2580_1583409643.jpg",0.98,0.98,0,0,"",208520,19498,1,"ct",0,22,"10",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",53,"راينبو",0,0,"",0,0
64279,"رينبو
حليب مبخر
بنكهة
الهيل","","https://cdn.basket.jo/assets/images/products/list/64279_1626101039.jpg","https://cdn.basket.jo/assets/images/products/detail/64279_1626101039.jpg",0.5,0.5,0,0,"",519305,19478,1,"ml",0,18,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4026,"الحليب المكثف والمبخر",53,"راينبو",0,0,"",0,0
