"product_id","product_name","description","product_image","product_info_image","our_selling_price","original_price","promo_item","saving_per_unit","display_saving_per_unit","outlet_item_id","popularity_index","sold_per","unit","approx_weight","size_label","label_value","each_suffix","allow_grams","status_available","status_available_label","featured_item","vendor_id","outlet_id","outlet_name","department_id","department_name","aisle_id","aisle_name","brand_id","brand_title","product_cart","cart_qty","cart_notes","cart_detail_id","is_favorited"
118449,"ابو قوس قشطة قيمر ","","https://cdn.basket.jo/assets/images/products/list/118449_1617999630.jpg","https://cdn.basket.jo/assets/images/products/detail/118449_1617999630.jpg",0.35,0.35,0,0,"",1476730,19475,1,"ml",0,18,"125",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",53,"راينبو",0,0,"",0,0
15373,"العلالي كريم شانتيه","","https://cdn.basket.jo/assets/images/products/list/15373_1630153441.jpg","https://cdn.basket.jo/assets/images/products/detail/15373_1630153441.jpg",1.8,1.8,0,0,"",483164,21128,1,"g",0,23,"168",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",358,"العلالي",0,0,"",0,0
19731,"المراعي قشطة طازجة","","https://cdn.basket.jo/assets/images/products/list/19731_1631000555.jpg","https://cdn.basket.jo/assets/images/products/detail/19731_1631000555.jpg",1,1,0,0,"",385846,777,1,"g",0,23,"100",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",7646,"المراعي",0,0,"",0,0
62651,"المراعي
قشطة طازجة لايت ","","https://cdn.basket.jo/assets/images/products/list/62651_1630157910.jpg","https://cdn.basket.jo/assets/images/products/detail/62651_1630157910.jpg",1,1,0,0,"",1317943,778,1,"g",0,23,"100",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",7646,"المراعي",0,0,"",0,0
10690,"المراعي
كريمة الطبخ كاملة الدسم","","https://cdn.basket.jo/assets/images/products/list/10690_1631014536.jpg","https://cdn.basket.jo/assets/images/products/detail/10690_1631014536.jpg",2.5,2.5,0,0,"",210880,839,1,"ml",0,18,"500",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",7646,"المراعي",0,0,"",0,0
10688,"المراعي كريمة طبخ كاملة الدسم","","https://cdn.basket.jo/assets/images/products/list/10688_1631014929.jpg","https://cdn.basket.jo/assets/images/products/detail/10688_1631014929.jpg",4.5,4.5,0,0,"",210891,951,1,"L",0,19,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",7646,"المراعي",0,0,"",0,0
12277,"امبروج
بخاخ
كريمة خفق","","https://cdn.basket.jo/assets/images/products/list/12277_1590358750.jpg","https://cdn.basket.jo/assets/images/products/detail/12277_1590358750.jpg",2.77,2.77,0,0,"",482270,12859,1,"g",0,23,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",22,"امبورج",0,0,"",0,0
3583,"امبورج كريمة طبخ","","https://cdn.basket.jo/assets/images/products/list/3583_1615456056.jpg","https://cdn.basket.jo/assets/images/products/detail/3583_1615456056.jpg",1.2,1.2,0,0,"",483351,12902,1,"ml",0,18,"200",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",22,"امبورج",0,0,"",0,0
3582,"امبورغ كريمة خفق  ","","https://cdn.basket.jo/assets/images/products/list/3582_1629114024.jpg","https://cdn.basket.jo/assets/images/products/detail/3582_1629114024.jpg",1.4,1.4,0,0,"",483234,12901,1,"ml",0,18,"200",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",22,"امبورج",0,0,"",0,0
34795,"امبورغ كريمة طبخ","","https://cdn.basket.jo/assets/images/products/list/34795_1629121422.jpg","https://cdn.basket.jo/assets/images/products/detail/34795_1629121422.jpg",4.45,4.45,0,0,"",480446,12906,1,"L",0,19,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",22,"امبورج",0,0,"",0,0
12025,"ايلي اند فاير كريمة طبخ","","https://cdn.basket.jo/assets/images/products/list/12025_1629901758.jpg","https://cdn.basket.jo/assets/images/products/detail/12025_1629901758.jpg",3.65,3.65,0,0,"",210881,14869,1,"ml",0,18,"500",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",42,"إيلي & فيرا",0,0,"",0,0
3458,"ايلي اند
فاير كريمة
طبخ
لايت","","https://cdn.basket.jo/assets/images/products/list/3458_1615455669.jpg","https://cdn.basket.jo/assets/images/products/detail/3458_1615455669.jpg",2.1,2.1,0,0,"",210876,14867,1,"ml",0,18,"200",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",42,"إيلي & فيرا",0,0,"",0,0
3457,"ايلي اند
فير
ادفانتج
كريمة 
للطبخ","","https://cdn.basket.jo/assets/images/products/list/3457_1615299654.jpg","https://cdn.basket.jo/assets/images/products/detail/3457_1615299654.jpg",5.45,5.45,0,0,"",210892,14876,1,"L",0,19,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",42,"إيلي & فيرا",0,0,"",0,0
3442,"ايلي اند
فير كريمة
خاصة للطبخ","","https://cdn.basket.jo/assets/images/products/list/3442_1630836014.jpg","https://cdn.basket.jo/assets/images/products/detail/3442_1630836014.jpg",2.1,2.1,0,0,"",210878,14865,1,"ml",0,18,"200",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",42,"إيلي & فيرا",0,0,"",0,0
3455,"ايلي اند
فير كريمة ممتازة
للطبخ","","https://cdn.basket.jo/assets/images/products/list/3455_1602876002.jpg","https://cdn.basket.jo/assets/images/products/detail/3455_1602876002.jpg",6.65,6.65,0,0,"",210895,14875,1,"L",0,19,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",42,"إيلي & فيرا",0,0,"",0,0
136156,"بايسن
بريتون
كريمة طبخ
خفيفة","","https://cdn.basket.jo/assets/images/products/list/136156_1631377227.jpg","https://cdn.basket.jo/assets/images/products/detail/136156_1631377227.jpg",1.2,1.2,0,0,"",1753381,0,1,"ml",0,18,"200",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",2656,"بيسان بريتون",0,0,"",0,0
69021,"بلو دراجون
كريمة جوز
الهند النباتية","","https://cdn.basket.jo/assets/images/products/list/69021_1629122115.jpg","https://cdn.basket.jo/assets/images/products/detail/69021_1629122115.jpg",2.75,2.75,0,0,"",590034,46226,1,"ml",0,18,"250",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",1322,"بلو دراجون",0,0,"",0,0
2243,"بوك توبينج معدلة بالزيت النباتي","","https://cdn.basket.jo/assets/images/products/list/2243_1624178963.jpg","https://cdn.basket.jo/assets/images/products/detail/2243_1624178963.jpg",0.64,0.64,0,0,"",386607,7002,1,"g",0,23,"170",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",24,"بوك",0,0,"",0,0
18241,"بوك قشطة قيمر","","https://cdn.basket.jo/assets/images/products/list/18241_1626100020.jpg","https://cdn.basket.jo/assets/images/products/detail/18241_1626100020.jpg",0.45,0.45,0,0,"",385419,6992,1,"g",0,23,"125",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",24,"بوك",0,0,"",0,0
3584,"بوك كريمة الطبخ","","https://cdn.basket.jo/assets/images/products/list/3584_1615465555.jpg","https://cdn.basket.jo/assets/images/products/detail/3584_1615465555.jpg",5.35,5.35,0,0,"",210889,7057,1,"L",0,19,"1",0,0,1,"متوفر",0,180,67,"MAF Carrefour-City Mall",4023,"الأجبان والألبان والبيض",4031,"الكريمة",24,"بوك",0,0,"",0,0
